address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
33 Rector St APT 13,NEW YORK,NY,10006,3248000,2170.0,2.0,2.0,163,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/33-Rector-St-APT-13-New-York-NY-10006/60147608_zpid/
123 Washington St APT 43B,NEW YORK,NY,10006,2850000,1175.0,2.0,2.0,452,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-APT-43B-New-York-NY-10006/112514495_zpid/
123 Washington St APT 43A,NEW YORK,NY,10006,1999500,799.0,1.0,1.0,463,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-APT-43A-New-York-NY-10006/112509947_zpid/
123 Washington St PENTHOUSE 54-A,New York,NY,10006,1945000,799.0,1.0,1.0,513,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-PENTHOUSE-54-A-New-York-NY-10006/112517764_zpid/
88 Greenwich St # 3103/3104,New York,NY,10006,1899000,1200.0,2.0,2.0,173,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-3103-3104-New-York-NY-10006/2092015291_zpid/
50 West St # 32A,New York,NY,10006,2495000,1148.0,1.0,2.0,92,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-West-St-32A-New-York-NY-10006/244863538_zpid/
123 Washington St APT 48F,NEW YORK,NY,10006,2418000,1152.0,2.0,2.0,218,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-APT-48F-New-York-NY-10006/112513096_zpid/
50 West St # 17B,New York,NY,10006,2000000,1087.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-West-St-17B-New-York-NY-10006/244735272_zpid/
123 Washington St APT 51B,NEW YORK,NY,10006,2898000,1175.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-APT-51B-New-York-NY-10006/112515094_zpid/
123 Washington St PENTHOUSE 56A,New York,NY,10006,1850000,799.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-PENTHOUSE-56A-New-York-NY-10006/112515032_zpid/
50 West St # 15C,New York,NY,10006,2200000,1080.0,1.0,1.0,92,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-West-St-15C-New-York-NY-10006/244703528_zpid/
123 Washington St APT 51A,NEW YORK,NY,10006,1898000,799.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-APT-51A-New-York-NY-10006/112513863_zpid/
123 Washington St APT 39A,NEW YORK,NY,10006,1580000,799.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-APT-39A-New-York-NY-10006/112088544_zpid/
88 Greenwich St APT 1004,NEW YORK,NY,10006,1575000,1213.0,2.0,2.0,37,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-1004-New-York-NY-10006/97512536_zpid/
123 Washington St APT 36A,NEW YORK,NY,10006,1595000,799.0,1.0,1.0,422,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-APT-36A-New-York-NY-10006/112088523_zpid/
88 Greenwich St APT 314,NEW YORK,NY,10006,680000,737.0,0.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-314-New-York-NY-10006/89329012_zpid/
88 Greenwich St APT 629,NEW YORK,NY,10006,735000,621.0,0.0,1.0,542,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-629-New-York-NY-10006/97543155_zpid/
123 Washington St APT 39G,NEW YORK,NY,10006,1560000,708.0,1.0,1.0,44,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-APT-39G-New-York-NY-10006/112088549_zpid/
123 Washington St APT 47H,NEW YORK,NY,10006,1215000,606.0,1.0,1.0,1005,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-APT-47H-New-York-NY-10006/112516705_zpid/
123 Washington St PENTHOUSE 54G,New York,NY,10006,1650000,708.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-PENTHOUSE-54G-New-York-NY-10006/116220102_zpid/
88 Greenwich St APT 1007,New York,NY,10006,895000,732.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-1007-New-York-NY-10006/143071823_zpid/
88 Greenwich St APT 301,NEW YORK,NY,10006,635000,656.0,0.0,1.0,36,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-301-New-York-NY-10006/89331004_zpid/
88 Greenwich St APT 923,NEW YORK,NY,10006,1085000,804.0,1.0,1.0,36,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-923-New-York-NY-10006/97509331_zpid/
123 Washington St APT 40H,NEW YORK,NY,10006,1305000,606.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-APT-40H-New-York-NY-10006/112088557_zpid/
88 Greenwich St APT 2504,New York,NY,10006,1199000,759.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-2504-New-York-NY-10006/143072011_zpid/
123 Washington St PENTHOUSE 56H,New York,NY,10006,1350000,606.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-PENTHOUSE-56H-New-York-NY-10006/112514165_zpid/
123 Washington St APT 34G,NEW YORK,NY,10006,1525000,708.0,1.0,1.0,183,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-APT-34G-New-York-NY-10006/112088514_zpid/
120 Greenwich St APT 2C,New York,NY,10006,950000,717.0,1.0,1.0,85,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/120-Greenwich-St-APT-2C-New-York-NY-10006/80004543_zpid/
88 Greenwich St APT 1021,NEW YORK,NY,10006,695000,543.0,0.0,1.0,36,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-1021-New-York-NY-10006/89329778_zpid/
88 Greenwich St APT 1808,NEW YORK,NY,10006,1390000,950.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-1808-New-York-NY-10006/97504692_zpid/
88 Greenwich St APT 1502,NEW YORK,NY,10006,770000,542.0,0.0,1.0,35,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-1502-New-York-NY-10006/97513195_zpid/
88 Greenwich St APT 913,NEW YORK,NY,10006,748000,627.0,0.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-913-New-York-NY-10006/89329016_zpid/
88 Greenwich St APT 1220,NEW YORK,NY,10006,780000,620.0,0.0,1.0,41,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-1220-New-York-NY-10006/97542488_zpid/
123 Washington St PENTHOUSE 53H,New York,NY,10006,1450000,606.0,1.0,1.0,456,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-PENTHOUSE-53H-New-York-NY-10006/112513977_zpid/
123 Washington St # 54H,New York,NY,10006,1250000,606.0,1.0,1.0,603,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-54H-New-York-NY-10006/112512256_zpid/
123 Washington St APT 41H,NEW YORK,NY,10006,1180000,606.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-APT-41H-New-York-NY-10006/112088564_zpid/
88 Greenwich St APT 2202,New York,NY,10006,1204950,831.0,1.0,1.0,92,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-2202-New-York-NY-10006/143071994_zpid/
123 Washington St APT 45H,NEW YORK,NY,10006,1230000,606.0,1.0,1.0,106,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-APT-45H-New-York-NY-10006/112511648_zpid/
88 Greenwich St APT 3003,NEW YORK,NY,10006,700000,444.0,0.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-3003-New-York-NY-10006/97541447_zpid/
88 Greenwich St APT 828,New York,NY,10006,685000,569.0,0.0,1.0,63,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-828-New-York-NY-10006/83937109_zpid/
88 Greenwich St APT 3103,NEW YORK,NY,10006,720000,NA,0.0,1.0,72,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-3103-New-York-NY-10006/97538061_zpid/
88 Greenwich St APT 1026,NEW YORK,NY,10006,695000,569.0,0.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-1026-New-York-NY-10006/97500449_zpid/
88 Greenwich St APT 827,NEW YORK,NY,10006,750000,532.0,0.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-827-New-York-NY-10006/83930788_zpid/
88 Greenwich St APT 917,NEW YORK,NY,10006,1200000,883.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-917-New-York-NY-10006/97524759_zpid/
88 Greenwich St APT 613,NEW YORK,NY,10006,729000,627.0,0.0,1.0,176,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-613-New-York-NY-10006/97525939_zpid/
88 Greenwich St APT 3104,NEW YORK,NY,10006,1225000,NA,1.0,1.0,75,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-3104-New-York-NY-10006/97530902_zpid/
88 Greenwich St APT 2010,NEW YORK,NY,10006,1165000,820.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-2010-New-York-NY-10006/97502734_zpid/
88 Greenwich St APT 1812,NEW YORK,NY,10006,835000,620.0,0.0,1.0,72,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-1812-New-York-NY-10006/97498857_zpid/
123 Washington St APT 44H,NEW YORK,NY,10006,1200000,606.0,1.0,1.0,218,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/123-Washington-St-APT-44H-New-York-NY-10006/112509633_zpid/
88 Greenwich St APT 501,NEW YORK,NY,10006,675000,656.0,0.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/88-Greenwich-St-APT-501-New-York-NY-10006/89334478_zpid/
Greenwich St APT 612,New York,NY,10006,NA,518.0,NA,NA,179,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/244690218_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
111 Murray St # PH2,New York,NY,10007,40000000,7488.0,5.0,11.0,1,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/111-Murray-St-PH2-New-York-NY-10007/2089608938_zpid/
37 Warren St,NEW YORK,NY,10007,6750000,2899.0,4.0,4.0,3,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/37-Warren-St-New-York-NY-10007/122272618_zpid/
49 Chambers St # 10E,New York,NY,10007,5350000,2975.0,3.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/49-Chambers-St-10E-New-York-NY-10007/2094338129_zpid/
100 Barclay St APT 12B,New York,NY,10007,5150000,2355.0,3.0,4.0,1,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/100-Barclay-St-APT-12B-New-York-NY-10007/2089613013_zpid/
101 Warren St # 11F,New York,NY,10007,2195000,979.0,1.0,2.0,1,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/101-Warren-St-11F-New-York-NY-10007/89335242_zpid/
49 Chambers St # 14D,New York,NY,10007,4275000,2236.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/49-Chambers-St-14D-New-York-NY-10007/2089623083_zpid/
100 Barclay St APT 24A,New York,NY,10007,6550000,2975.0,4.0,4.0,2,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/100-Barclay-St-APT-24A-New-York-NY-10007/2094738685_zpid/
25 Murray St APT 7G,NEW YORK,NY,10007,3850000,3289.0,2.0,2.0,7,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/25-Murray-St-APT-7G-New-York-NY-10007/83935112_zpid/
30 Park Pl # 42B,New York,NY,10007,5300000,1664.0,2.0,2.0,4,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/30-Park-Pl-42B-New-York-NY-10007/219636742_zpid/
72 Reade St APT 4S,New York,NY,10007,5995000,3400.0,3.0,3.0,7,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/72-Reade-St-APT-4S-New-York-NY-10007/2089701602_zpid/
16 Warren St # 4,New York,NY,10007,4695000,2583.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/16-Warren-St-4-New-York-NY-10007/2138570085_zpid/
