address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
252 South St # 68B,Manhattan,NY,10002,2692000,1034.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-South-St-68B-Manhattan-NY-10002/2089623117_zpid/
387 Grand St APT K1002,New York,NY,10002,688000,821.0,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/387-Grand-St-APT-K1002-New-York-NY-10002/244896240_zpid/
252 South St # 48K,Manhattan,NY,10002,2517000,1123.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-South-St-48K-Manhattan-NY-10002/2094749666_zpid/
252 South St # 37J,Manhattan,NY,10002,1445000,695.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-South-St-37J-Manhattan-NY-10002/2094375602_zpid/
252 South St # 12E,Manhattan,NY,10002,2150000,1123.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-South-St-12E-Manhattan-NY-10002/2094817324_zpid/
252 South St # 11D,Manhattan,NY,10002,2378000,1123.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-South-St-11D-Manhattan-NY-10002/2094789824_zpid/
252 South St # 72G,Manhattan,NY,10002,1630000,688.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-South-St-72G-Manhattan-NY-10002/2094749667_zpid/
38 Delancey St APT 6B,New York,NY,10002,1895000,1002.0,2.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/38-Delancey-St-APT-6B-New-York-NY-10002/2090295858_zpid/
215 Chrystie St # 28WE,New York,NY,10002,15945000,4220.0,5.0,6.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/215-Chrystie-St-28WE-New-York-NY-10002/2090645858_zpid/
252 South St # 25G,Manhattan,NY,10002,1303000,723.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-South-St-25G-Manhattan-NY-10002/2094803529_zpid/
42 Allen St # 3B,New York,NY,10002,1850000,1364.0,2.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/42-Allen-St-3B-New-York-NY-10002/2091959261_zpid/
252 South St # 61K,Manhattan,NY,10002,1737000,688.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-South-St-61K-Manhattan-NY-10002/2094735690_zpid/
252 South St # 9K,Manhattan,NY,10002,1230000,695.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-South-St-9K-Manhattan-NY-10002/2089623120_zpid/
252 South St # 53F,Manhattan,NY,10002,1450000,722.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-South-St-53F-Manhattan-NY-10002/2094803528_zpid/
154 Attorney St # 701/702,New York,NY,10002,6500000,3646.0,7.0,5.0,71,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/154-Attorney-St-701-702-New-York-NY-10002/2090836818_zpid/
475 Fdr Dr APT L2005,New York,NY,10002,1500000,1250.0,3.0,2.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/475-Fdr-Dr-APT-L2005-New-York-NY-10002/219639003_zpid/
575 Grand St APT E301,New York,NY,10002,775000,1055.0,2.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/575-Grand-St-APT-E301-New-York-NY-10002/2092101359_zpid/
413 Grand St APT F606,New York,NY,10002,1100000,1092.0,2.0,1.0,89,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/413-Grand-St-APT-F606-New-York-NY-10002/2091101087_zpid/
204 Forsyth St # MAISONETTE,New York,NY,10002,4495000,2758.0,3.0,3.0,242,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/204-Forsyth-St-MAISONETTE-New-York-NY-10002/2092825989_zpid/
75 Ludlow St # 4A,New York,NY,10002,2665520,1646.0,3.0,2.0,22,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/75-Ludlow-St-4A-New-York-NY-10002/2089965753_zpid/
21 Ludlow St # 3-B,New York,NY,10002,1050000,650.0,1.0,1.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/21-Ludlow-St-3-B-New-York-NY-10002/2138635778_zpid/
154 Attorney St # 701,NEW YORK,NY,10002,3500000,1771.0,4.0,3.0,74,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/154-Attorney-St-701-New-York-NY-10002/80012793_zpid/
575 Grand St APT E1804,New York,NY,10002,635000,NA,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/575-Grand-St-APT-E1804-New-York-NY-10002/244889186_zpid/
550 Grand St APT J4A,New York,NY,10002,799000,1000.0,2.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/550-Grand-St-APT-J4A-New-York-NY-10002/2090188077_zpid/
473 Fdr Dr APT K903,New York,NY,10002,659000,800.0,1.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/473-Fdr-Dr-APT-K903-New-York-NY-10002/2089855500_zpid/
302 Broome St APT 3B,NEW YORK,NY,10002,799000,673.0,1.0,1.0,593,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/302-Broome-St-APT-3B-New-York-NY-10002/31496304_zpid/
